checkpoint,index,metric,spatial_distance,value,error
1999,1,spatial_specificity,12.369317054748535,0.8614804148674011,0.017089858651161194
1999,1,spatial_specificity,12.529964447021484,0.7968536615371704,0.01916133426129818
1999,1,spatial_specificity,12.649110794067383,0.8455381393432617,0.01912718638777733
1999,1,spatial_specificity,12.727921485900879,0.7785409688949585,0.018107082694768906
1999,1,spatial_specificity,12.806248664855957,0.7853197455406189,0.017363879829645157
1999,1,spatial_specificity,13.0,0.8656010627746582,0.016194075345993042
1999,1,spatial_specificity,13.038405418395996,0.8529642820358276,0.01440840121358633
1999,1,spatial_specificity,13.152946472167969,0.9138754606246948,0.013103324919939041
1999,1,spatial_specificity,13.34166431427002,0.8942985534667969,0.01450078934431076
1999,1,spatial_specificity,13.416407585144043,0.8333152532577515,0.0189324039965868
1999,1,spatial_specificity,13.45362377166748,0.8025189638137817,0.018948864191770554
1999,1,spatial_specificity,13.601469993591309,0.8386515378952026,0.015683159232139587
1999,1,spatial_specificity,13.892444610595703,0.8381240963935852,0.016509760171175003
1999,1,spatial_specificity,13.928387641906738,0.8698549270629883,0.015355223789811134
1999,1,spatial_specificity,14.142135620117188,0.8259409070014954,0.02090204693377018
1999,1,spatial_specificity,14.21267032623291,0.8327773809432983,0.01899530366063118
1999,1,spatial_specificity,14.317821502685547,0.8667598962783813,0.014627231284976006
1999,1,spatial_specificity,14.422204971313477,0.8492993116378784,0.015268928371369839
1999,1,spatial_specificity,14.764822959899902,0.8706013560295105,0.012724584899842739
1999,1,spatial_specificity,14.866068840026855,0.8556629419326782,0.019646121188998222
1999,1,spatial_specificity,15.0,0.8640082478523254,0.015570953488349915
1999,1,spatial_specificity,15.264337539672852,0.8789049386978149,0.011510349810123444
1999,1,spatial_specificity,15.55634880065918,0.879464328289032,0.017422592267394066
1999,1,spatial_specificity,15.620499610900879,0.8822405934333801,0.01534108817577362
1999,1,spatial_specificity,15.81138801574707,0.8882293701171875,0.011644219979643822
1999,1,spatial_specificity,16.278820037841797,0.8982170820236206,0.015667956322431564
1999,1,spatial_specificity,16.401220321655273,0.8998160362243652,0.012871366925537586
1999,1,spatial_specificity,16.970561981201172,0.9113305807113647,0.015580191276967525
1999,1,spatial_specificity,17.029386520385742,0.9109960794448853,0.013732733204960823
1999,1,spatial_specificity,17.69180679321289,0.9198238253593445,0.013236463069915771
1999,1,spatial_specificity,18.384777069091797,0.9258033633232117,0.012050476856529713
2499,2,cls_effective_rank,,14.905272483825684,1.0258513689041138
2499,2,patch_effective_rank,,40.273231506347656,4.476348400115967
2499,2,mean_off_diagonal_similarity,,0.8042173385620117,0.014353306032717228
2499,2,spatial_specificity,1.0,0.9434078335762024,0.005735411308705807
2499,2,spatial_specificity,1.4142135381698608,0.9156048893928528,0.007776672951877117
2499,2,spatial_specificity,2.0,0.8921487927436829,0.010207309387624264
2499,2,spatial_specificity,2.2360680103302,0.8744753003120422,0.010408559814095497
2499,2,spatial_specificity,2.8284270763397217,0.8445855975151062,0.011020676232874393
2499,2,spatial_specificity,3.0,0.8568731546401978,0.011008929461240768
2499,2,spatial_specificity,3.1622776985168457,0.8414463996887207,0.0114180538803339
2499,2,spatial_specificity,3.605551242828369,0.8178914189338684,0.011933102272450924
2499,2,spatial_specificity,4.0,0.8329828977584839,0.011343451216816902
2499,2,spatial_specificity,4.123105525970459,0.8184358477592468,0.01194989774376154
2499,2,spatial_specificity,4.242640495300293,0.7971662282943726,0.012723122723400593
2499,2,spatial_specificity,4.4721360206604,0.7991015911102295,0.012460632249712944
2499,2,spatial_specificity,5.0,0.7960392236709595,0.012704549357295036
2499,2,spatial_specificity,5.099019527435303,0.8050301671028137,0.013252751901745796
2499,2,spatial_specificity,5.385164737701416,0.7871781587600708,0.013692907989025116
2499,2,spatial_specificity,5.656854152679443,0.7697930932044983,0.014846342615783215
2499,2,spatial_specificity,5.830952167510986,0.7717448472976685,0.014864728786051273
2499,2,spatial_specificity,6.0,0.8121933937072754,0.014232068322598934
2499,2,spatial_specificity,6.082762241363525,0.798701286315918,0.014898993074893951
2499,2,spatial_specificity,6.324555397033691,0.7804050445556641,0.01595451310276985
2499,2,spatial_specificity,6.4031243324279785,0.7591034770011902,0.01615108549594879
2499,2,spatial_specificity,6.7082037925720215,0.7642795443534851,0.01701541244983673
2499,2,spatial_specificity,7.0,0.8128778338432312,0.013579873368144035
2499,2,spatial_specificity,7.071067810058594,0.783353328704834,0.015140167437493801
2499,2,spatial_specificity,7.211102485656738,0.7523851990699768,0.01774778589606285
2499,2,spatial_specificity,7.280109882354736,0.7797190546989441,0.016832519322633743
2499,2,spatial_specificity,7.6157732009887695,0.7631794214248657,0.018087394535541534
2499,2,spatial_specificity,7.8102498054504395,0.743386447429657,0.01837136037647724
2499,2,spatial_specificity,8.0,0.8153295516967773,0.014153854921460152
2499,2,spatial_specificity,8.062257766723633,0.7778228521347046,0.016522537916898727
2499,2,spatial_specificity,8.246211051940918,0.7828720808029175,0.017189614474773407
2499,2,spatial_specificity,8.485280990600586,0.7368130087852478,0.019530117511749268
2499,2,spatial_specificity,8.5440034866333,0.765913724899292,0.018316637724637985
2499,2,spatial_specificity,8.602325439453125,0.7416734099388123,0.019109318032860756
2499,2,spatial_specificity,8.9442720413208,0.7534821033477783,0.01851370744407177
2499,2,spatial_specificity,9.0,0.82415771484375,0.014821610413491726
2499,2,spatial_specificity,9.05538558959961,0.8090965151786804,0.01585608534514904
2499,2,spatial_specificity,9.219544410705566,0.7636805176734924,0.017839854583144188
2499,2,spatial_specificity,9.433980941772461,0.7448599934577942,0.018904440104961395
2499,2,spatial_specificity,9.486832618713379,0.772617757320404,0.01867135427892208
2499,2,spatial_specificity,9.848857879638672,0.7600709795951843,0.019390329718589783
2499,2,spatial_specificity,9.899495124816895,0.7345603704452515,0.02019466646015644
2499,2,spatial_specificity,10.0,0.7758340239524841,0.017314031720161438
2499,2,spatial_specificity,10.049875259399414,0.825634777545929,0.016434675082564354
2499,2,spatial_specificity,10.198039054870605,0.8070883750915527,0.018261050805449486
2499,2,spatial_specificity,10.29563045501709,0.7511760592460632,0.020732814446091652
2499,2,spatial_specificity,10.440306663513184,0.7884902358055115,0.01978684589266777
2499,2,spatial_specificity,10.630146026611328,0.7391619682312012,0.021211955696344376
2499,2,spatial_specificity,10.770329475402832,0.773475170135498,0.021286437287926674
2499,2,spatial_specificity,10.816654205322266,0.7449690103530884,0.022783908993005753
2499,2,spatial_specificity,11.0,0.8668696284294128,0.016539206728339195
2499,2,spatial_specificity,11.045360565185547,0.8540067672729492,0.018021253868937492
2499,2,spatial_specificity,11.180339813232422,0.7991490960121155,0.020988192409276962
2499,2,spatial_specificity,11.313708305358887,0.7438021302223206,0.02174585498869419
2499,2,spatial_specificity,11.401754379272461,0.7796069979667664,0.022257402539253235
2499,2,spatial_specificity,11.661904335021973,0.7583702206611633,0.02587476372718811
2499,2,spatial_specificity,11.704700469970703,0.798878014087677,0.02536219358444214
2499,2,spatial_specificity,12.0,0.8989974856376648,0.018064429983496666
2499,2,spatial_specificity,12.041594505310059,0.8179230690002441,0.020524214953184128
2499,2,spatial_specificity,12.083045959472656,0.7897626161575317,0.028480354696512222
2499,2,spatial_specificity,12.16552448272705,0.875653862953186,0.021352512761950493
2499,2,spatial_specificity,12.206555366516113,0.7643827199935913,0.02632657252252102
2499,2,spatial_specificity,12.369317054748535,0.858036994934082,0.024455679580569267
2499,2,spatial_specificity,12.529964447021484,0.7888098955154419,0.030917778611183167
2499,2,spatial_specificity,12.649110794067383,0.8414965867996216,0.0284477137029171
2499,2,spatial_specificity,12.727921485900879,0.7721006870269775,0.024605799466371536
2499,2,spatial_specificity,12.806248664855957,0.7790714502334595,0.02473658137023449
2499,2,spatial_specificity,13.0,0.8630107641220093,0.024436654523015022
2499,2,spatial_specificity,13.038405418395996,0.8492256999015808,0.021691536530852318
2499,2,spatial_specificity,13.152946472167969,0.9168028831481934,0.017772400751709938
